"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
0,"More than 1000",1,,"I don't know","I am not sure",No,No,"I don't know","Very easy",Maybe,No,No,Maybe,No,No,,,,,,,,,0,,,,,,,,,,,,No,"It doesn't have any bearing on my ability to accomplish the job when properly coped with.",No,"Again, when properly coped with it shouldn't affect my ability to do the job. I expect, as with physical health issues, I'll be allowed time needed when coping is necessary.",Maybe,Maybe,"Somewhat open",No,,"I don't know",Yes,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,,0,Rarely,Often,31,Male,"United States of America",Minnesota,"United States of America",Minnesota,"One-person shop|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate|Other",Never
1,,,,,,,,,,,,,,,,0,"No, I don't know any","No, because it doesn't matter",No,"Sometimes, if it comes up","Not applicable to me",Yes,1-25%,1,"Some did","No, I only became aware later","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","Yes, at all of my previous employers","I don't know","None of them",No,"Completely dependant on the relevance of the mental health issue and it's impact on the work being applied for. ",Maybe,"Same as before ",Maybe,Maybe,"Somewhat open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",37,"Male ","Czech Republic",,"Czech Republic",,"Back-end Developer|Front-end Developer",Sometimes
0,26-100,1,,Yes,"I am not sure",No,"I don't know",Yes,"Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",Yes,"It's good to be upfront about everything.",Yes,"It's no different from a physical health issue. If it can potentially affect my performance then I should be clear.","No, I don't think it would","No, I don't think they would","Somewhat not open","Maybe/Not sure",No,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",,No,,0,"Not applicable to me",Sometimes,36,Male,"United Kingdom",,"United Kingdom",,"Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer",Sometimes
0,100-500,1,,No,No,No,Yes,"I don't know","Somewhat easy",Maybe,No,No,No,"I don't know",Yes,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",Sometimes,"Some of them","None of them","Some of my previous employers","No, at none of my previous employers","None did","None of them",No,"I don't think is the place nor the time for this",No,"same as before","Yes, I think it would","Yes, I think they would","Somewhat open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",33,Male,Germany,,Germany,,"Executive Leadership|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead",Never
0,26-100,1,,Yes,"I am not sure",No,Yes,Yes,"Very easy",No,No,Yes,Maybe,Yes,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Yes,"These days I'm more comfortable expressing anything that could be a factor in getting work done. It helps me screen employers: if anything is an insurmountable problem for them, then it is clearly not a place I want to work.",Yes,"Same answer as for physical health issues, though admittedly I'm a little slower to bring up mental health concerns due to stigma fears.",Maybe,Maybe,"Somewhat open","Yes, I experienced",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,44,Male,"United States of America",Washington,"United States of America",Washington,"Back-end Developer",Always
0,100-500,1,,No,Yes,No,No,"I don't know","Somewhat easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them","None did","None did",No,"Some of them","None of them","Some of my previous employers","Some of my previous employers","None did","Yes, all of them",Maybe,,Maybe,,Maybe,"Yes, I think they would","Somewhat open","Yes, I observed",Yes,No,No,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,,0,Never,Sometimes,29,male,"United Kingdom",,"United Kingdom",,"Front-end Developer",Never
0,100-500,1,,No,"I am not sure",Yes,No,"I don't know","Somewhat easy",No,No,Maybe,Yes,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Yes,,Maybe,,Maybe,"No, I don't think they would","Very open",No,,Yes,Yes,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Sometimes,29,male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Sometimes
0,"More than 1000",1,,Yes,Yes,"I don't know","I don't know","I don't know","Neither easy nor difficult",Maybe,No,Yes,Yes,"I don't know",Yes,,,,,,,,,1,"Some did","No, I only became aware later","None did","Some did","I don't know","Some of them","Some of them","Yes, at all of my previous employers","Yes, at all of my previous employers","I don't know","Some of them",Yes,"The employer needs to know that I would need support in order to do my best work for them",Yes,"Because my employer needs to support me in order to get the best work possible from me",Maybe,Maybe,"Very open","Yes, I observed",No,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",44,Male,Canada,,Canada,,Support|Other,Always
1,,,,,,,,,,,,,,,,1,"I know some","No, because it doesn't matter",Yes,"Sometimes, if it comes up","I'm not sure",Yes,26-50%,1,"Yes, they all did","No, I only became aware later","None did","Some did","Yes, always","Some of them","Some of them","Yes, at all of my previous employers","Some of my previous employers","None did","Some of them",Maybe,"An employer weighs the impact to quality/availability of work and the cost to productivity as well as the cost (in my case) to ensure that I have the proper equipment (I'm obese).  Unfortunately, it's not something that's avoidable for the employer to notice.",No,"In most regards it doesn't concern the employer, if it becomes an issue then I'd be willing to discuss it.","Yes, I think it would","No, I don't think they would","Somewhat open","Yes, I observed",Maybe,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",,No,,0,Rarely,Sometimes,34,Male,"United States of America",Georgia,"United States of America",Georgia,"One-person shop|Back-end Developer|DevOps/SysAdmin",Sometimes
0,100-500,1,,Yes,"I am not sure",No,"I don't know",Yes,"Somewhat easy",No,No,Maybe,Yes,No,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","Yes, always","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,"For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.",Maybe,"For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.","No, I don't think it would","No, I don't think they would","Somewhat open","Maybe/Not sure",No,"I don't know",Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,No,,1,Rarely,Sometimes,40,male,"United States of America",Minnesota,"United States of America",Minnesota,Other,Always
0,"More than 1000",1,,Yes,"I am not sure",No,No,Yes,"Somewhat difficult",Yes,Maybe,Yes,Yes,No,No,,,,,,,,,1,"Some did","No, I only became aware later","None did","Some did","I don't know","Some of them","None of them","Yes, at all of my previous employers","Yes, at all of my previous employers","None did","None of them",Maybe,"Depends on the social perception of the issue.",No,"Too easy to map mental health to ability to do the job.",Maybe,Maybe,"Very open","Maybe/Not sure",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,No,,1,Often,Often,46,"Female assigned at birth ",Netherlands,,Netherlands,,"Supervisor/Team Lead|Other",Never
1,,,,,,,,,,,,,,,,1,"I know some","No, because it would impact me negatively","I'm not sure","Sometimes, if it comes up",No,Yes,51-75%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Yes,,No,,"Yes, I think it would","No, I don't think they would","Somewhat open","Yes, I experienced",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",,No,,1,Sometimes,Often,28,M,Lithuania,,Lithuania,,"DevOps/SysAdmin|Back-end Developer",Sometimes
0,"More than 1000",0,1,No,"I am not sure",No,No,No,"Somewhat difficult",Maybe,No,No,No,No,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"I don't know","None of them","Some of my previous employers","No, at none of my previous employers","None did","None of them",No,,No,,"Yes, I think it would","Yes, I think they would","Somewhat open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",41,Male,"United States of America",Georgia,"United States of America",Georgia,"Back-end Developer",Never
0,6-25,1,,Yes,Yes,"I don't know",Yes,"I don't know","Somewhat easy",Maybe,Maybe,Maybe,Maybe,No,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"Seems like it would deter them from hiring me.",No,"Seems like it would deter them from hiring me.","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,33,male,"United States of America",Kentucky,"United States of America",Kentucky,"Supervisor/Team Lead|Back-end Developer|Front-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","Sometimes, if it comes up","I'm not sure","Sometimes, if it comes up","I'm not sure",Yes,1-25%,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Some of them","Some of them","Yes, at all of my previous employers","Some of my previous employers","I don't know","Some of them",Yes,"I would bring up a physical health issue with a prospective employer if I were to find that the job required tasks that I was unable to complete or safely attempt that could cause injury to myself or others. ",Maybe,"I think the only time would be with ""on call"" work (i.e. Being available 24/7 with no set schedule) as this causes far too much stress in my life. I refuse, and have quit, jobs that rely on this method. The job that I quit was promised to have a schedule in the interview. ","No, I don't think it would",Maybe,"Very open","Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",1,Rarely,Often,32,Male,"United States of America","West Virginia","United States of America",Ohio,Other,Sometimes
0,6-25,1,,"I don't know",No,No,"I don't know","I don't know","I don't know",Maybe,No,No,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","None did","Some did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,"If the issue would impact my performance without some form of concessions/consideration on the party of the employer, I would, otherwise I wouldn't. ",Maybe,"There's likely nothing they could do to mitigate any performance problems as a result of a mental health issue, so I probably wouldn't discuss. ",Maybe,Maybe,"Somewhat not open",No,,"I don't know",Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,,0,"Not applicable to me",Sometimes,45,Male,"United States of America",Virginia,"United States of America",Virginia,"DevOps/SysAdmin|Back-end Developer|Front-end Developer",Sometimes
1,,,,,,,,,,,,,,,,0,"I know some","No, because it doesn't matter",N/A,"Not applicable to me","Not applicable to me",Yes,26-50%,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","Some of them","No, at none of my previous employers","I don't know","I don't know","Some of them",Yes,"Because I'd want to know if they can provide an ergonomic keyboard, or are happy with a worker plugging their own keyboard into their computers.",Yes,"Would want to know if management support is going to work.","No, I don't think it would",Maybe,Neutral,"Maybe/Not sure",N/A,Yes,Yes,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,"Not applicable to me","Not applicable to me",43,male,"United Kingdom",,"United Kingdom",,Other,Sometimes
0,6-25,1,,Yes,Yes,No,No,Yes,"Very easy",No,No,Yes,Maybe,"I don't know",No,,,,,,,,,1,"Some did","Yes, I was aware of all of them","Some did","Yes, they all did","Yes, always","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",No,"None of their business",No,"Not related to my qualifications or skills",Maybe,Maybe,"Somewhat open",No,,No,Maybe,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,37,F,"United States of America",California,"United States of America",California,"Supervisor/Team Lead",Always
0,26-100,1,,No,N/A,No,No,"I don't know","Somewhat easy",Maybe,Maybe,No,No,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",No,,No,,"Yes, it has",Maybe,Neutral,"Maybe/Not sure",No,"I don't know",Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,37,M,Australia,,Australia,,"Executive Leadership",Never
0,6-25,1,,Yes,Yes,No,No,Yes,"Very easy",Maybe,Maybe,Yes,Yes,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","None did","Some did","Yes, always","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Yes,,Yes,,Maybe,Maybe,"Somewhat open","Maybe/Not sure",No,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",27,Male,"United States of America",California,"United States of America",California,"Front-end Developer|Back-end Developer|Executive Leadership",Sometimes
